model,image,psnr,ssim
AOD-Net,1442_1.png,10.405328076558249,0.6180796027183533
AOD-Net,1443_1.png,12.441065612043797,0.7103603482246399
AOD-Net,1444_1.png,9.38330944290697,0.47959408164024353
AOD-Net,1445_1.png,11.464981450971816,0.6452766060829163
AOD-Net,1446_1.png,11.366893845736474,0.6559564471244812
FFA-Net,1442_1.png,35.47292477876886,0.9916808605194092
FFA-Net,1443_1.png,36.93996674059502,0.9906824231147766
FFA-Net,1444_1.png,39.70108654363645,0.9920258522033691
FFA-Net,1445_1.png,39.90563348794217,0.9946491718292236
FFA-Net,1446_1.png,38.637956240597674,0.9939591884613037
